Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0010756~positive regulation of plasminogen activation	2	4.545454545454546	0.01671895300457385	CLEC3B, F12	42	8	19478	115.94047619047619	0.9987400405508333	1.0	1.0
GOTERM_CC_DIRECT	GO:0005576~extracellular region	11	25.0	0.017498155918898025	CLEC3B, TNXB, GPX3, F12, ABCC6, LEPR, LPL, LYPD3, NDNF, SFTPA1, RNASE1	44	2313	20795	2.2476221357544315	0.8258176905816238	0.4330793589927261	0.4330793589927261
GOTERM_BP_DIRECT	GO:0001525~angiogenesis	4	9.090909090909092	0.018504088214008264	ACVRL1, EPAS1, LEPR, NDNF	42	267	19478	6.947743891564116	0.9993864584047222	1.0	1.0
GOTERM_BP_DIRECT	GO:0002070~epithelial cell maturation	2	4.545454545454546	0.018789549971024114	EPAS1, TMEM79	42	9	19478	103.05820105820106	0.9994532141299991	1.0	1.0
GOTERM_MF_DIRECT	GO:0008430~selenium binding	2	4.545454545454546	0.01900731102331481	SELENBP1, GPX3	42	9	19253	101.86772486772486	0.9508497189712866	1.0	1.0
GOTERM_BP_DIRECT	GO:0120162~positive regulation of cold-induced thermogenesis	3	6.8181818181818175	0.019142634375839605	EPAS1, LEPR, ADRB2	42	101	19478	13.775106082036775	0.999525845743927	1.0	1.0
UP_KW_CELLULAR_COMPONENT	KW-1003~Cell membrane	17	38.63636363636363	0.019159221463043278	ACVRL1, SLC46A2, ABCC6, LPL, LYPD3, EMP2, SORBS1, ADRB2, SLC51B, GNG11, CDH5, EFNA3, LEPR, NOSTRIN, ESAM, MYZAP, KCNK3	43	4134	18049	1.726088815382365	0.3338549870011386	0.13411455024130295	0.12772814308695518
GOTERM_BP_DIRECT	GO:0043534~blood vessel endothelial cell migration	2	4.545454545454546	0.02497585009219997	CDH5, EMP2	42	12	19478	77.29365079365078	0.9999553226325374	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Fibronectin type-III 2	3	6.8181818181818175	0.03242640602023977	TNXB, LEPR, NDNF	43	139	20675	10.377279571691483	0.9999111670402364	1.0	1.0
UP_SEQ_FEATURE	DOMAIN:Fibronectin type-III 1	3	6.8181818181818175	0.03242640602023977	TNXB, LEPR, NDNF	43	139	20675	10.377279571691483	0.9999111670402364	1.0	1.0
GOTERM_CC_DIRECT	GO:0030018~Z disc	3	6.8181818181818175	0.0326293334753658	FHL5, MYZAP, SYNPO	44	137	20795	10.349203715992036	0.9625287220736165	0.5153656330076766	0.5153656330076766
GOTERM_CC_DIRECT	GO:0005923~bicellular tight junction	3	6.8181818181818175	0.03306643505501079	CDH5, ESAM, SYNPO	44	138	20795	10.274209486166006	0.964168336588302	0.5153656330076766	0.5153656330076766
GOTERM_BP_DIRECT	GO:0071456~cellular response to hypoxia	3	6.8181818181818175	0.035496597785198314	EPAS1, NDNF, KCNK3	42	141	19478	9.867274569402229	0.9999993914580608	1.0	1.0
GOTERM_BP_DIRECT	GO:0007166~cell surface receptor signaling pathway	4	9.090909090909092	0.036304842613735525	CDH5, LEPR, MS4A15, ADRB2	42	347	19478	5.345958556333196	0.9999995633716315	1.0	1.0
GOTERM_CC_DIRECT	GO:0016020~membrane	18	40.909090909090914	0.03643999425306804	ACVRL1, SLC46A2, MCM8, ABCC6, EMP2, ADRB2, SLC51B, SELENBP1, CDH5, GP9, DPYSL2, SNX25, LEPR, MS4A15, C16ORF89, ESAM, KCNK3, MGLL	44	5415	20795	1.571014857718459	0.9746488427672038	0.5153656330076766	0.5153656330076766
GOTERM_BP_DIRECT	GO:0045603~positive regulation of endothelial cell differentiation	2	4.545454545454546	0.03723450548899426	ACVRL1, ATOH8	42	18	19478	51.52910052910053	0.9999997020628598	1.0	1.0
GOTERM_BP_DIRECT	GO:0043129~surfactant homeostasis	2	4.545454545454546	0.03926294255362456	NAPSA, EPAS1	42	19	19478	48.81704260651629	0.9999998707594303	1.0	1.0
GOTERM_BP_DIRECT	GO:0045766~positive regulation of angiogenesis	3	6.8181818181818175	0.04512457710259002	ACVRL1, CDH5, EMP2	42	161	19478	8.641526175687666	0.9999999885475267	1.0	1.0
GOTERM_BP_DIRECT	GO:0019433~triglyceride catabolic process	2	4.545454545454546	0.045323269178542	LPL, MGLL	42	22	19478	42.16017316017316	0.999999989453471	1.0	1.0
GOTERM_CC_DIRECT	GO:0009986~cell surface	5	11.363636363636363	0.047221490622468755	ACVRL1, CDH5, SLC46A2, LPL, EMP2	44	662	20795	3.5695893985168907	0.991678467330633	0.5843659464530508	0.5843659464530508
SMART	SM00060:FN3	3	6.8181818181818175	0.05089365223906318	TNXB, LEPR, NDNF	27	150	10706	7.93037037037037	0.8552393624479043	1.0	1.0
GOTERM_CC_DIRECT	GO:0005912~adherens junction	3	6.8181818181818175	0.05765514856234071	CDH5, ESAM, SORBS1	44	188	20795	7.541706963249515	0.9972024597216098	0.6342066341857479	0.6342066341857479
UP_KW_CELLULAR_COMPONENT	KW-0472~Membrane	26	59.09090909090909	0.05851062809935581	ACVRL1, SLC46A2, MCM8, LPL, LYPD3, ADRB2, HSD17B6, SELENBP1, CDH5, DPYSL2, SNX25, MS4A15, LEPR, ABCC6, EMP2, SORBS1, SLC51B, GNG11, GP9, EFNA3, TMEM79, NOSTRIN, ESAM, MYZAP, KCNK3, MGLL	43	8353	18049	1.3065184768597273	0.7180813170328402	0.307180797521618	0.29255314049677905
UP_SEQ_FEATURE	COMPBIAS:Pro residues	9	20.454545454545457	0.06247050993996766	TNXB, DPYSL2, F12, ATOH8, LYPD3, SORBS1, SFTPA1, SYNPO, RBMS3	43	2133	20675	2.028750858600726	0.9999999882039317	1.0	1.0
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	3	6.8181818181818175	0.06396388465870363	CDH5, TNXB, ESAM	42	196	19478	7.098396501457725	0.9999999999957158	1.0	1.0
GOTERM_MF_DIRECT	GO:0098632~cell-cell adhesion mediator activity	2	4.545454545454546	0.06599447470941619	CDH5, ESAM	42	32	19253	28.650297619047617	0.9999778760368537	1.0	1.0
INTERPRO	IPR003961:FN3_dom	3	6.8181818181818175	0.06652864624244074	TNXB, LEPR, NDNF	43	209	20808	6.946033159007454	0.999999204568174	1.0	1.0
UP_SEQ_FEATURE	ACT_SITE:Charge relay system	3	6.8181818181818175	0.06727541277881041	F12, LPL, MGLL	43	209	20675	6.901635696005341	0.9999999972443799	1.0	1.0
INTERPRO	IPR036116:FN3_sf	3	6.8181818181818175	0.06764211550060345	TNXB, LEPR, NDNF	43	211	20808	6.880193982144825	0.9999993764659855	1.0	1.0
GOTERM_BP_DIRECT	GO:0035633~maintenance of blood-brain barrier	2	4.545454545454546	0.0691937894321798	CDH5, ESAM	42	34	19478	27.280112044817926	0.9999999999995342	1.0	1.0
GOTERM_MF_DIRECT	GO:0030159~signaling receptor complex adaptor activity	2	4.545454545454546	0.06997495212788843	CDH5, SORBS1	42	34	19253	26.964985994397757	0.9999886848760027	1.0	1.0
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	5	11.363636363636363	0.07123890504188671	CDH5, CLEC3B, F12, RGN, LPL	42	739	19253	3.101520716541014	0.9999908603337975	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0130~Cell adhesion	4	9.090909090909092	0.07346234288451917	CDH5, GP9, TNXB, ESAM	24	494	11523	3.887651821862348	0.9129801362237823	0.9096434968715665	0.9096434968715665
GOTERM_BP_DIRECT	GO:2000352~negative regulation of endothelial cell apoptotic process	2	4.545454545454546	0.07506983259916009	CDH5, NDNF	42	37	19478	25.068211068211067	0.999999999999962	1.0	1.0
UP_KW_PTM	KW-0379~Hydroxylation	3	6.8181818181818175	0.07648620277601782	EPAS1, ADRB2, SFTPA1	33	205	14316	6.348558758314856	0.6717479597662457	0.3825145840590553	0.3825145840590553
GOTERM_BP_DIRECT	GO:0006641~triglyceride metabolic process	2	4.545454545454546	0.0770204594603129	TNXB, LPL	42	38	19478	24.408521303258144	0.9999999999999836	1.0	1.0
UP_KW_PTM	KW-1015~Disulfide bond	14	31.818181818181817	0.07736308090381219	ACVRL1, NAPSA, TNXB, F12, LPL, GKN2, ADRB2, RNASE1, GP9, CLEC3B, EFNA3, LEPR, ESAM, SFTPA1	33	3956	14316	1.5352514017832521	0.6760845947373908	0.3825145840590553	0.3825145840590553
GOTERM_BP_DIRECT	GO:0001937~negative regulation of endothelial cell proliferation	2	4.545454545454546	0.07896707268820825	ACVRL1, ATOH8	42	39	19478	23.78266178266178	0.9999999999999929	1.0	1.0
GOTERM_BP_DIRECT	GO:0001974~blood vessel remodeling	2	4.545454545454546	0.08090968033407149	ACVRL1, EPAS1	42	40	19478	23.18809523809524	0.9999999999999969	1.0	1.0
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	9	20.454545454545457	0.08594393263049285	SELENBP1, CLEC3B, NAPSA, TNXB, GPX3, DPYSL2, F12, C16ORF89, RNASE1	44	2242	20795	1.8972001459735626	0.9998631292199947	0.8508449330418792	0.8508449330418792
GOTERM_BP_DIRECT	GO:0060391~positive regulation of SMAD protein signal transduction	2	4.545454545454546	0.08671355006101779	ACVRL1, ATOH8	42	43	19478	21.5703211517165	0.9999999999999998	1.0	1.0
INTERPRO	IPR045860:Snake_toxin-like_sf	2	4.545454545454546	0.08699927787269375	ACVRL1, LYPD3	43	45	20808	21.506976744186044	0.9999999913680545	1.0	1.0
GOTERM_BP_DIRECT	GO:0030513~positive regulation of BMP signaling pathway	2	4.545454545454546	0.08864021558645493	ACVRL1, CDH5	42	44	19478	21.08008658008658	0.9999999999999999	1.0	1.0
INTERPRO	IPR018378:C-type_lectin_CS	2	4.545454545454546	0.08884612227601767	CLEC3B, SFTPA1	43	46	20808	21.03943377148635	0.9999999942889959	1.0	1.0
GOTERM_MF_DIRECT	GO:0052689~carboxylic ester hydrolase activity	2	4.545454545454546	0.09157350981231062	LPL, MGLL	42	45	19253	20.373544973544973	0.9999997171885245	1.0	1.0
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	3	6.8181818181818175	0.09453718021996164	SLC46A2, ABCC6, SLC51B	42	246	19478	5.655632984901277	1.0	1.0	1.0
UP_KW_BIOLOGICAL_PROCESS	KW-0094~Blood coagulation	2	4.545454545454546	0.09526515110965449	GP9, F12	24	50	11523	19.205	0.9593853975827409	0.9096434968715665	0.9096434968715665
UP_KW_BIOLOGICAL_PROCESS	KW-0356~Hemostasis	2	4.545454545454546	0.09526515110965449	GP9, F12	24	50	11523	19.205	0.9593853975827409	0.9096434968715665	0.9096434968715665
